id,code,origin,destination,depart_time,arrive_time,price,seats_total,seats_left,duration
2,ETD801,Tokyo,Abu Dhabi,2025-11-10 17:20,2025-11-11 00:40,1100.00,189,188,300
3,ACA30,Beijing,Vancouver,2025-11-19 11:00,2025-11-20 12:00,1200.00,220,219,500
5,VA7077,Johannesburg,Paris,2025-12-17 08:00,2025-12-17 12:07,1932.25,200,199,247
6,QF4823,Paris,Jakarta,2025-12-15 10:00,2025-12-15 15:10,2541.71,170,169,310
7,KE1269,Istanbul,Zurich,2025-12-10 13:00,2025-12-10 19:07,126.16,150,145,367
8,IB9618,Delhi,Houston,2025-12-12 18:00,2025-12-12 19:11,1374.18,160,158,71
9,AF5838,Chicago,Beijing,2025-12-08 06:00,2025-12-08 07:16,3053.02,170,169,76
10,AA4349,Shanghai,Manila,2025-12-20 18:00,2025-12-21 00:30,1983.12,250,250,390
11,IB1422,Dubai,Istanbul,2025-12-07 15:00,2025-12-07 16:01,2130.36,200,200,61
12,SU7652,Seoul,Melbourne,2025-12-09 10:00,2025-12-09 13:47,469.31,140,140,227
13,SQ5261,London,Rome,2025-12-05 08:00,2025-12-05 13:24,515.66,140,140,324
14,SU9596,Kuala Lumpur,Perth,2025-12-11 17:00,2025-12-11 22:23,2002.94,160,160,323
15,TG2749,Miami,Frankfurt,2025-12-03 11:00,2025-12-03 14:59,2520.50,250,250,239
16,IB8045,Helsinki,Dallas,2025-12-02 07:00,2025-12-02 13:11,3181.30,160,160,371
17,DL2459,Dallas,Doha,2025-12-07 15:00,2025-12-07 19:41,1322.50,180,180,281
18,CA6141,San Francisco,Singapore,2025-12-05 08:00,2025-12-05 14:17,1389.16,140,140,377
19,AA3857,Manila,Toronto,2025-12-05 08:00,2025-12-05 09:06,1187.51,140,139,66
20,SQ6730,Istanbul,Los Angeles,2025-12-21 07:00,2025-12-21 11:03,2379.54,160,160,243
21,VA4938,Singapore,Paris,2025-12-19 17:00,2025-12-19 18:10,3217.75,160,160,70
